name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Christopher Newport University,Virginia,VA,Public,4 Year,11460,14754,26214,27220,38680,17,Virginia,50800,87200,55,25
Cincinnati Christian University,Ohio,OH,Private,4 Year,8360,17528,25888,17528,25888,,,,,,
Cincinnati College of Mortuary Science,Ohio,OH,Private,2 Year,,20475,20475,20475,20475,,,,,,
Cincinnati State Technical and Community College,Ohio,OH,Public,2 Year,,5242,5242,10001,10001,,,,,,
Cisco College,Texas,TX,Public,2 Year,4355,2940,7295,5070,9425,,,,,,
Citrus College,California,CA,Public,2 Year,,1450,1450,9520,9520,,,,,,
City College of San Francisco,California,CA,Public,2 Year,,1414,1414,8644,8644,,,,,,
City Colleges of Chicago: Harold Washington College,Illinois,IL,Public,2 Year,,3504,3504,11544,11544,,,,,,
City Colleges of Chicago: Harry S. Truman College,Illinois,IL,Public,2 Year,,3504,3504,11544,11544,,,,,,
City Colleges of Chicago: Kennedy-King College,Illinois,IL,Public,2 Year,,3504,3504,11544,11544,,,,,,
City Colleges of Chicago: Malcolm X College,Illinois,IL,Public,2 Year,,3504,3504,11544,11544,,,,,,
City Colleges of Chicago: Olive-Harvey College,Illinois,IL,Public,2 Year,,3504,3504,11544,11544,,,,,,
City Colleges of Chicago: Richard J. Daley College,Illinois,IL,Public,2 Year,,3504,3504,11544,11544,,,,,,
City Colleges of Chicago: Wilbur Wright College,Illinois,IL,Public,2 Year,,3504,3504,11544,11544,,,,,,
City University of New York: Baruch College,New York,NY,Public,4 Year,15178,7261,22439,18531,33709,,,,,,
City University of New York: Borough of Manhattan Community College,New York,NY,Public,2 Year,,5169,5169,9969,9969,,,,,,
City University of New York: Bronx Community College,New York,NY,Public,2 Year,,5205,5205,10005,10005,,,,,,
City University of New York: Brooklyn College,New York,NY,Public,4 Year,,7240,7240,18510,18510,,,,,,
City University of New York: City College,New York,NY,Public,4 Year,18124,7140,25264,18410,36534,,,,,,
City University of New York: College of Staten Island,New York,NY,Public,4 Year,18265,7289,25554,18559,36824,,,,,,
City University of New York: Guttman Community College,New York,NY,Public,2 Year,,5193,5193,9993,9993,,,,,,
City University of New York: Hostos Community College,New York,NY,Public,2 Year,,5206,5206,10006,10006,,,,,,
City University of New York: Hunter College,New York,NY,Public,4 Year,9714,7180,16894,18450,28164,,,,,,
City University of New York: John Jay College of Criminal Justice,New York,NY,Public,4 Year,17750,7270,25020,18540,36290,,,,,,
City University of New York: Kingsborough Community College,New York,NY,Public,2 Year,,5253,5253,10053,10053,,,,,,
City University of New York: LaGuardia Community College,New York,NY,Public,2 Year,,5217,5217,10017,10017,,,,,,
City University of New York: Lehman College,New York,NY,Public,4 Year,11820,7209,19029,18479,30299,,,,,,
